word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Sarap_0,205.0,1,[9],,meco_para_7
"tadimi,_0",348.0,3,"[7, 8, 10]",,meco_para_7
sarabin_0,200.0,2,"[36, 122]",,meco_para_7
 duyumsal_0,408.0,5,"[35, 37, 43, 44, 70]",,meco_para_7
olarak_0,307.0,3,"[14, 45, 46]",,meco_para_7
incelenmesi_0,263.0,3,"[17, 19, 56]",,meco_para_7
ve_0,62.0,1,[58],,meco_para_7
degerlendirilmesidir._0,179.0,2,"[28, 59]",,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,nan,0,[],,meco_para_7
sarap_2,97.0,1,[123],,meco_para_7
Uretimi_0,307.0,3,"[34, 81, 115]",,meco_para_7
kadar_0,730.0,9,"[11, 12, 29, 33, 38, 68, 69, 114, 127]",,meco_para_7
"antikken,_0",677.0,7,"[5, 6, 13, 41, 42, 71, 128]",,meco_para_7
daha_0,101.0,1,[47],,meco_para_7
bicimsel_0,591.0,6,"[15, 16, 49, 57, 73, 74]",,meco_para_7
bir_0,nan,0,[],,meco_para_7
metodoloji_0,168.0,2,"[60, 64]",,meco_para_7
orta_0,nan,0,[],,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,nan,0,[],,meco_para_7
 glnUmUuze_0,455.0,4,"[31, 82, 95, 116]",,meco_para_7
yavasca__0,513.0,4,"[32, 124, 125, 126]",,meco_para_7
olusmaktadir._0,347.0,5,"[4, 39, 83, 129, 137]",,meco_para_7
"Modern,_0",270.0,3,"[72, 84, 130]",,meco_para_7
profesyonel_0,339.0,4,"[20, 21, 75, 76]",,meco_para_7
sarap_3,nan,0,[],,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,nan,0,[],,meco_para_7
sarabin_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
algilanan_0,67.0,1,[30],meco_para_7_qa_1 ,meco_para_7
lezzet_0,67.0,1,[94],meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",72.0,1,[100],meco_para_7_qa_1 ,meco_para_7
aromasini_0,544.0,6,"[3, 40, 55, 101, 117, 156]",meco_para_7_qa_1 ,meco_para_7
ve_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
 genel__0,101.0,1,[118],meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,434.0,3,"[77, 85, 86]",meco_para_7_qa_1 ,meco_para_7
tarif_0,172.0,1,[25],meco_para_7_qa_1 ,meco_para_7
etmek_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
stirekli_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
olarak_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
gelisen_0,166.0,2,"[50, 159]",meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,208.0,2,"[53, 54]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,433.0,4,"[102, 103, 131, 136]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,443.0,5,"[65, 89, 107, 133, 169]",meco_para_7_qa_1 ,meco_para_7
Son_0,647.0,6,"[24, 90, 110, 112, 150, 153]",meco_para_7_qa_1 ,meco_para_7
yillarda_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
hem_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
hem_1,nan,0,[],meco_para_7_qa_0 ,meco_para_7
de__0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,442.0,3,"[157, 158, 178]",meco_para_7_qa_0 ,meco_para_7
sarap_4,nan,0,[],meco_para_7_qa_0 ,meco_para_7
tadimi__0,105.0,1,[161],meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,307.0,4,"[1, 2, 170, 199]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,1424.0,12,"[78, 80, 88, 106, 108, 109, 111, 119, 120, 135, 155, 200]",meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,723.0,5,"[79, 91, 92, 151, 152]",,meco_para_7
 ortaya_0,nan,0,[],,meco_para_7
ciktl._0,nan,0,[],,meco_para_7
"Ornegin,_0",nan,0,[],,meco_para_7
arastirmalar_0,135.0,1,[179],,meco_para_7
insanlarin_0,66.0,1,[67],,meco_para_7
daha_1,nan,0,[],,meco_para_7
pahali_0,202.0,3,"[144, 162, 163]",,meco_para_7
sarabin_2,898.0,8,"[23, 105, 143, 164, 165, 172, 173, 198]",,meco_para_7
daha_2,307.0,2,"[166, 174]",,meco_para_7
ucuz_0,1260.0,6,"[134, 167, 168, 175, 202, 203]",,meco_para_7
saraba__0,548.0,4,"[93, 121, 176, 177]",,meco_para_7
gore_0,nan,0,[],,meco_para_7
daha_3,nan,0,[],,meco_para_7
fazla_0,nan,0,[],,meco_para_7
 arzulanan__0,nan,0,[],,meco_para_7
karakteristige_0,99.0,1,[192],,meco_para_7
sahip_0,128.0,2,"[52, 146]",,meco_para_7
olmasini_0,767.0,6,"[142, 145, 180, 181, 190, 216]",,meco_para_7
beklediklerini_0,412.0,4,"[26, 149, 189, 218]",,meco_para_7
gostermistir:_0,579.0,5,"[183, 184, 185, 186, 187]",,meco_para_7
|_0,nan,0,[],,meco_para_7
Tadimcilar_0,nan,0,[],,meco_para_7
verilen_0,nan,0,[],,meco_para_7
 sarabin_0,nan,0,[],,meco_para_7
gercek_0,nan,0,[],,meco_para_7
olmayan’_0,410.0,3,"[193, 209, 226]",,meco_para_7
bir_1,148.0,2,"[98, 210]",,meco_para_7
 sekilde_0,503.0,6,"[51, 96, 104, 194, 211, 224]",,meco_para_7
 pahali_0,409.0,5,"[66, 148, 213, 214, 215]",,meco_para_7
oldugu_0,738.0,6,"[182, 220, 221, 223, 233, 235]",,meco_para_7
"soylendiginde,_0",242.0,2,"[219, 222]",,meco_para_7
neredeyse_0,nan,0,[],,meco_para_7
her_0,nan,0,[],,meco_para_7
zaman_0,nan,0,[],,meco_para_7
ayni_0,nan,0,[],,meco_para_7
sarap_5,nan,0,[],,meco_para_7
onlara__0,68.0,1,[206],,meco_para_7
ucuz_1,209.0,2,"[204, 208]",,meco_para_7
oldugu_sdylendiginden_0,957.0,9,"[97, 141, 147, 195, 212, 225, 227, 232, 236]",,meco_para_7
daha__0,68.0,1,[234],,meco_para_7
lezzetli_0,nan,0,[],,meco_para_7
oldugunu_0,nan,0,[],,meco_para_7
belirttiler._0,nan,0,[],,meco_para_7
Baska_0,nan,0,[],,meco_para_7
calismalar_0,nan,0,[],,meco_para_7
gosteriyor_0,nan,0,[],,meco_para_7
ki_0,136.0,2,"[205, 207]",,meco_para_7
tadimcilarin”_0,nan,0,[],,meco_para_7
kararlari_0,311.0,3,"[196, 197, 230]",,meco_para_7
cografi_0,nan,0,[],,meco_para_7
"kéken,_0",nan,0,[],,meco_para_7
itibar_0,nan,0,[],,meco_para_7
veya_0,nan,0,[],,meco_para_7
diger_0,nan,0,[],,meco_para_7
etkenlerin_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
 bilinmesiyle_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
etki_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
=_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
altinda___0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
kalabiliyor._0,145.0,2,"[140, 228]",meco_para_7_qa_2 ,meco_para_7
Objektif_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
sarap_6,163.0,1,[237],meco_para_7_qa_2 ,meco_para_7
tadimi_1,nan,0,[],meco_para_7_qa_2 ,meco_para_7
bu_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
yuzen_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
—_1,nan,0,[],meco_para_7_qa_2 ,meco_para_7
sarabin_3,nan,0,[],meco_para_7_qa_2 ,meco_para_7
kor_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
tadimini_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
gerektirir-_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
bu_1,nan,0,[],meco_para_7_qa_2 ,meco_para_7
